SignalType,Xsections,N_orig,Group,CustomJson,EOSDirectory
#
##Data
DoubleMuon_Run2017B-Nano25Oct2019,1,1,DoubleMuData,Cert_294927-306462_13TeV_PromptReco_Collisions17_JSON.txt,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
DoubleMuon_Run2017C-Nano25Oct2019,1,1,DoubleMuData,Cert_294927-306462_13TeV_PromptReco_Collisions17_JSON.txt,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
DoubleMuon_Run2017D-Nano25Oct2019,1,1,DoubleMuData,Cert_294927-306462_13TeV_PromptReco_Collisions17_JSON.txt,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
DoubleMuon_Run2017E-Nano25Oct2019,1,1,DoubleMuData,Cert_294927-306462_13TeV_PromptReco_Collisions17_JSON.txt,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
DoubleMuon_Run2017F-Nano25Oct2019,1,1,DoubleMuData,Cert_294927-306462_13TeV_PromptReco_Collisions17_JSON.txt,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
#
DoubleEG_Run2017F-Nano25Oct2019-v1,1,1,DoubleEleData,Cert_294927-306462_13TeV_PromptReco_Collisions17_JSON.txt,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
DoubleEG_Run2017E-Nano25Oct2019-v1,1,1,DoubleEleData,Cert_294927-306462_13TeV_PromptReco_Collisions17_JSON.txt,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
DoubleEG_Run2017D-Nano25Oct2019-v1,1,1,DoubleEleData,Cert_294927-306462_13TeV_PromptReco_Collisions17_JSON.txt,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
DoubleEG_Run2017C-Nano25Oct2019-v1,1,1,DoubleEleData,Cert_294927-306462_13TeV_PromptReco_Collisions17_JSON.txt,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
DoubleEG_Run2017B-Nano25Oct2019-v1,1,1,DoubleEleData,Cert_294927-306462_13TeV_PromptReco_Collisions17_JSON.txt,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
#
##DiBoson
#
WWTo2L2Nu,12.178,22148697,DiBoson_amcNLO,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
WWToLNuQQ,49.997,0,DiBoson_amcNLO,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
WWTo4Q,51.723,94291548,DiBoson_amcNLO,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
WWTo1L1Nu2Q,49.997,745255456,DiBoson_amcNLO,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
WZTo3LNu,4.42965,94563223,DiBoson_amcNLO,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
WZTo1L1Nu2Q,10.71,352334879,DiBoson_amcNLO,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
WZTo1L3Nu,3.033,29030866,DiBoson_amcNLO,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
WZTo2L2Q,5.595,269158730,DiBoson_amcNLO,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
WZTo2Q2Nu,6.324,0,DiBoson_amcNLO,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
ZZTo4L,1.212,124486501,DiBoson_amcNLO,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
ZZTo2Q2Nu,4.04,443133932,DiBoson_amcNLO,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
ZZTo2L2Q,3.22,156973438,DiBoson_amcNLO,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
ZZTo4Q,6.896587,0,DiBoson_amcNLO,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
VVTo2L2Nu,11.95,251904811,DiBoson_amcNLO,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
#
##TTBar
#
TTJets_,831.76,317891174288,TTBar,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
TTToHadronic,377.96,40875369224,TTBar_decayBinned,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
TTToSemiLeptonic,365.34,33025258298,TTBar_decayBinned,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
TTTo2L2Nu,87.31,4922923861,TTBar_decayBinned,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
#
##WJets
#
WJetsToLNu_0J,50279.2,11026234224640,WJetsJBin,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
WJetsToLNu_1J,8434.257,11717096217856,WJetsJBin,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
WJetsToLNu_2J,2813.243,4851578535424,WJetsJBin,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
#
##DY+jets
#
####### NEW SAMPLE ######## DY1JetsToLL_M-50_LHEZpT_50-150
####### NEW SAMPLE ######## DY1JetsToLL_M-50_LHEZpT_150-250
####### NEW SAMPLE ######## DY1JetsToLL_M-50_LHEZpT_250-400
####### NEW SAMPLE ######## DY1JetsToLL_M-50_LHEZpT_400-inf
####### NEW SAMPLE ######## DY2JetsToLL_M-50_LHEZpT_50-150
####### NEW SAMPLE ######## DY2JetsToLL_M-50_LHEZpT_50-150
####### NEW SAMPLE ######## DY2JetsToLL_M-50_LHEZpT_150-250
####### NEW SAMPLE ######## DY2JetsToLL_M-50_LHEZpT_150-250
####### NEW SAMPLE ######## DY2JetsToLL_M-50_LHEZpT_250-400
####### NEW SAMPLE ######## DY2JetsToLL_M-50_LHEZpT_400-inf
DYJetsToLL_M-10to50,18610,39821167,ZJetsM10-50,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
#
DYJetsToLL_0J,4755.47,534004807680,ZJetsJBin,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
DYJetsToLL_1J,886.4694,445782010496,ZJetsJBin,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
DYJetsToLL_2J,339.6296,142147521600,ZJetsJBin,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
#
##QCD
#
QCD_Pt-15to20_MuEnrichedPt5_,3.63E+06,5860867,QCDMu,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
QCD_Pt-20to30_MuEnrichedPt5_,3.14E+06,28214126,QCDMu,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
QCD_Pt-30to50_MuEnrichedPt5_,1.65E+06,29030324,QCDMu,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
QCD_Pt-50to80_MuEnrichedPt5_,4.49E+05,24068613,QCDMu,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
QCD_Pt-80to120_MuEnrichedPt5_,1.05E+05,23251833,QCDMu,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
QCD_Pt-120to170_MuEnrichedPt5_,2.55E+04,20775373,QCDMu,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
QCD_Pt-170to300_MuEnrichedPt5_,8.62E+03,45979466,QCDMu,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
QCD_Pt-300to470_MuEnrichedPt5_,7.96E+02,17744782,QCDMu,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
QCD_Pt-470to600_MuEnrichedPt5_,7.92E+01,24243672,QCDMu,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
QCD_Pt-600to800_MuEnrichedPt5_,2.53E+01,17167994,QCDMu,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
QCD_Pt-800to1000_MuEnrichedPt5_,4.73E+00,17114527,QCDMu,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
QCD_Pt-1000toInf_MuEnrichedPt5_,1.62E+00,11596693,QCDMu,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
##QCDEle
QCD_Pt-20to30_EMEnriched_,5.55E+06,11021857,QCDEle,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
QCD_Pt-30to50_EMEnriched_,6.96E+06,14766010,QCDEle,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
QCD_Pt-50to80_EMEnriched_,2.21E+06,10285882,QCDEle,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
QCD_Pt-80to120_EMEnriched_,4.15E+05,8820201,QCDEle,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
QCD_Pt-120to170_EMEnriched_,7.58E+04,8515201,QCDEle,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
QCD_Pt-170to300_EMEnriched_,1.88E+04,3433364,QCDEle,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
QCD_Pt-300toInf_EMEnriched_,1.21E+03,2874295,QCDEle,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
#
##Single Top
#
ST_s-channel_4f,10.32,182351086,SingleTop,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
####### DONT HAVE THIS SAMPLE ######## ST_t-channel_top_4f_inclusiveDecays,136.02,66240296,SingleTop,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
ST_tW_top_5f_inclusiveDecays,35.85,270609009,SingleTop,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
ST_tW_antitop_5f_inclusiveDecays,35.85,270762747,SingleTop,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
####### DONT HAVE THIS SAMPLE ######## ST_t-channel_antitop_4f_inclusiveDecays,80.95,38626683,SingleTop,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
ST_t-channel_antitop_5f,71.74,274098637,SingleTop,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
ST_t-channel_top_5f,119.7,706283791,SingleTop,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
#
##SM Higgs
GluGluHToBB_M125,25.34,1030139249,SMHiggs,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
GluGluHToZZTo4L_M125,0.01212,57049708,SMHiggs,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
VBF_HToZZTo4L_M125,0.001034,9718645,SMHiggs,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
####### DONT HAVE THIS SAMPLE ######## VBFHToBB_M125,2.1626,3296000,SMHiggs,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
WminusH_HToZZTo4L_M125,0.0001471,1284353,SMHiggs,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
WplusH_HToZZTo4L_M125,0.0002339,1498095,SMHiggs,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
ZH_HToBB_ZToLL_M125,0.173,381528,SMHiggs,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
ZH_HToZZ_2LFilter,0.7534,394203,SMHiggs,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
ttHJetTobb_M125,0.2934,9939992,SMHiggs,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
ttHJetToNonbb_M125,0.2151,9387764,SMHiggs,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
GluGluZH_HToWW,0.8696,15401,SMHiggs,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
####### DONT HAVE THIS SAMPLE ######## ggZH_HToBB_ZToLL_M125,.006954,5515935,SMHiggs,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
####### DONT HAVE THIS SAMPLE ######## WH_HToBB_WToLNu_M125,0.173,3149195,SMHiggs,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
####### DONT HAVE THIS SAMPLE ######## VBFHToWWTo2L2Nu,3.748,486510,SMHiggs,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
####### DONT HAVE THIS SAMPLE ######## GluGluHToWWTo2L2Nu,43.92,499473,SMHiggs,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
#
#HH Signal
#
GluGluToRadionToHHTo2B2ZTo2L2J_M-250_narrow,0.001,382976,HHres250,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
GluGluToRadionToHHTo2B2ZTo2L2J_M-260_narrow,0.001,383967,HHres260,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
GluGluToRadionToHHTo2B2ZTo2L2J_M-270_narrow,0.001,379978,HHres270,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
GluGluToRadionToHHTo2B2ZTo2L2J_M-280_narrow,0.001,399968,HHres280,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
GluGluToRadionToHHTo2B2ZTo2L2J_M-300_narrow,0.001,287956,HHres300,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
GluGluToRadionToHHTo2B2ZTo2L2J_M-320_narrow,0.001,299973,HHres320,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
GluGluToRadionToHHTo2B2ZTo2L2J_M-350_narrow,0.001,299974,HHres350,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
GluGluToRadionToHHTo2B2ZTo2L2J_M-400_narrow,0.001,291970,HHres400,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
GluGluToRadionToHHTo2B2ZTo2L2J_M-450_narrow,0.001,295972,HHres450,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
GluGluToRadionToHHTo2B2ZTo2L2J_M-500_narrow,0.001,293961,HHres500,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
GluGluToRadionToHHTo2B2ZTo2L2J_M-550_narrow,0.001,299968,HHres550,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
GluGluToRadionToHHTo2B2ZTo2L2J_M-600_narrow,0.001,290954,HHres600,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
GluGluToRadionToHHTo2B2ZTo2L2J_M-650_narrow,0.001,299962,HHres650,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
GluGluToRadionToHHTo2B2ZTo2L2J_M-700_narrow,0.001,287958,HHres700,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
GluGluToRadionToHHTo2B2ZTo2L2J_M-750_narrow,0.001,299955,HHres750,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/27March2020/vinguyen
